"Index","Artist","Title","Mood"
"ML1","George Michael","I Want Your Sex","happy"
"ML2","Rob Zombie","Pussy Liquor","angry"
"ML3","Katatonia",12,"sad"
"ML4","Bing Crosby","Swinging On A Star","happy"
"ML5","Ludacris","Get Back","angry"
"ML6","Hole","Violet","angry"
"ML7","Manic Street Preachers","Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart","angry"
"ML8","Emerson Hart","If You're Gonna Leave","sad"
"ML9","Megadeth","Architecture of Aggression","angry"
"ML10","Blondie","Heart of Glass","happy"
"ML11","The Clientele","Impossible","relaxed"
"ML12","The Tallest Man on Earth","Love Is All","sad"
"ML13","Garbage","Silence Is Golden","angry"
"ML14","Van Morrison","And It Stoned Me","relaxed"
"ML15","The Proclaimers","I'm On My Way","happy"
"ML16","50 Cent","My Gun Go Off","angry"
"ML17","Collie Buddz","Mamacita","happy"
"ML18","Avenged Sevenfold","Coming Home","angry"
"ML19","Avril Lavigne","How Does It Feel","sad"
"ML20","The Streets","Never Went to Church","sad"
"ML21","Geto Boys","Chuckie","angry"
"ML22","David Sylvian","September","relaxed"
"ML23","Demon Hunter","The Tide Began To Rise","sad"
"ML24","Lily Holbrook","Better Left Unsaid","sad"
"ML25","Creed","Illusion","angry"
"ML26","Egotrippi","Matkustaja","sad"
"ML27","The Whitest Boy Alive","Don't Give Up","relaxed"
"ML28","Opeth","By the Pain I See in Others","sad"
"ML29","Salt The Wound","Better Than This","angry"
"ML30","Iron Maiden","Aces High","angry"
"ML31","Norah Jones","The Prettiest Thing","relaxed"
"ML32","Lamb","Written","relaxed"
"ML33","Nickleback","Rockstar","angry"
"ML34","Mastodon","Megalodon","angry"
"ML35","Natalie Walker","No One Else","relaxed"
"ML36","Stephen Lynch","Country Love Song","happy"
"ML37","Stereophonics","Bright Red Star","sad"
"ML38","Bad Manners","Can Can","happy"
"ML39","Hollywood Undead","Young","angry"
"ML40","Hooverphonic","The Magnificent Tree","relaxed"
"ML41","Working for a Nuclear Free City","Quiet Place","relaxed"
"ML42","Bruce Springsteen","Atlantic City","sad"
"ML43","Alison Moyet","Invisible","sad"
"ML44","Eminem","We Made You","happy"
"ML45","Polly Scattergood","I Hate The Way","sad"
"ML46","Ulrich Schnauss","Wherever You Are","relaxed"
"ML47","Tom Lehrer","We Will All Go Together When We Go","happy"
"ML48","Helena Bonham Carter & Johnny Depp","Poor Thing","sad"
"ML49","Megadeth","The World Needs a Hero","angry"
"ML50","Morrissey","Life Is A Pigsty","sad"
"ML51","Muse","Agitated","angry"
"ML52","Fourplay","Fields Of Gold","relaxed"
"ML53","Rascal Flatts","Summer Nights","happy"
"ML54","JosÃƒÂ© Padilla","Adios Ayer","relaxed"
"ML55","Emiliana Torrini","Jungle Drums","happy"
"ML56","Dr. Dog","The Breeze","relaxed"
"ML57","Girls In Hawaii","Bees & butterflies","relaxed"
"ML58","Cradle of Filth","Dirge Inferno","angry"
"ML59","Foals","Big Big Love (Fig. 2)","relaxed"
"ML60","Metallica","Welcome Home (Sanitarium)","sad"
"ML61","Imogen Heap","Little Bird","relaxed"
"ML62","The Flying Burrito Brothers","Do You Know How It Feels","sad"
"ML63","Grizzly Bear","Easier","relaxed"
"ML64","Eric Church","Sinners Like Me","relaxed"
"ML65","Bachman-Turner Overdrive","Roll On Down The Highway","happy"
"ML66","ZZ Top","Gimme All Your Lovin'","happy"
"ML67","System of a Down","War?","angry"
"ML68","Nachtmahr","Feuer Frei!","angry"
"ML69","Stacey Kent","Bali Ha'i","relaxed"
"ML70","Taylor Swift","You Belong With Me","happy"
"ML71","The World/Inferno Friendship Society","Only Anarchists Are Pretty","happy"
"ML72","Tiger Lou","Like my very own blood","sad"
"ML73","Slayer","Spiritual Law","angry"
"ML74","COLD","Stupid Girl","angry"
"ML75","Grand Archives","Torn Blue Foam Couch","relaxed"
"ML76","Ania","Turu Tu Tu...","sad"
"ML77","Reel Big Fish","New York, New York","happy"
"ML78","Loverboy","Hot Girls In Love","happy"
"ML79","Judas Priest","Bullet Train","angry"
"ML80","The Foreshadowing","The Wandering","sad"
"ML81","Erik Hassle","Hurtful","sad"
"ML82","Good Charlotte","Girls & Boys","happy"
"ML83","Riverside","Before","sad"
"ML84","Saybia","The One For You","sad"
"ML85","The Jam","Bricks And Mortar","angry"
"ML86","Symphony X","The Divine Wings Of Tragedy","sad"
"ML87","Nirvana","Scentless Apprentice","angry"
"ML88","Deborah Harry","End Of The Run","sad"
"ML89","Shania Twain","Man! I Feel Like A Woman!","happy"
"ML90","BjÃƒÂ¶rn RosenstrÃƒÂ¶m","Mamma","happy"
"ML91","The Ataris","The Boys Of Summer","happy"
"ML92","Angie Stone","U-Haul","relaxed"
"ML93","The Pipettes","Dirty Mind","happy"
"ML94","Katie Melua","If The Lights Go Out","relaxed"
"ML95","Steve Goodman","My Old Man","sad"
"ML96","Atari Teenage Riot","Deutschland (Has Gotta Die!)","angry"
"ML97","U2","Sunday Bloody Sunday","angry"
"ML98","Longing for Dawn","Lethal","sad"
"ML99","Metallica","Metal Militia","angry"
"ML100","Queen","Crazy Little Thing Called Love","happy"
"ML101","Talking Heads","Psycho Killer","angry"
"ML102","Matt Costa","Lilacs","relaxed"
"ML103","Reel 2 Real","I Like to Move It","happy"
"ML104","Kelly Clarkson","Already Gone","sad"
"ML105","Diana Krall","You're My Thrill","relaxed"
"ML106","Kanye West","We Don't Care","happy"
"ML107","Rocky Votolato","Tennessee Train Tracks","relaxed"
"ML108","Darren Hayes","A Conversation With God","sad"
"ML109","Okkervil River","So Come Back, I Am Waiting","sad"
"ML110","Bloodhound Gang","The Bad Touch","happy"
"ML111","Mudvayne","Dig","angry"
"ML112","Megadeth","Recipe for Hate...Warhorse","angry"
"ML113","Peter Sellers","Unchained Melody","happy"
"ML114","The Replacements","Can't Hardly Wait","sad"
"ML115","The Rolling Stones","Coming Down Again","sad"
"ML116","MÃƒÂ³veis Coloniais de Acaju","Swing hum e meio","happy"
"ML117","Dream Theater","The Enemy Inside","angry"
"ML118","Dave Matthews Band","Old Dirt Hill (Bring That Beat Back)","relaxed"
"ML119","Maggie Reilly","All My Heart Can Hold","sad"
"ML120","Xavier Rudd","Better People","relaxed"
"ML121","George Jones","He Stopped Loving Her Today","sad"
"ML122","CafÃƒÂ© Tacuba","Las Flores","happy"
"ML123","Jack Johnson","They Do, They Don't","relaxed"
"ML124","Pearl Jam","Crazy Mary","sad"
"ML125","Billie Holiday","Lady Sings The Blues","sad"
"ML126","The Saturdays","Fall","sad"
"ML127","Etta James","My Dearest Darling","happy"
