,Artist,Song,count
26,Aerosmith,Janie's Got A Gun,2
34,Akon,Don't Matter,2
35,Akon,Lonely,2
63,Alice Cooper,Be My Lover,2
131,Asobi Seksu,Thursday,2
139,Austra,Spellwork,2
143,Avenged Sevenfold,Nightmare,2
193,Bebel Gilberto,Aganju,3
223,Billie Holiday,Nice Work If You Can Get It,2
295,Boyz II Men,Silent Night,2
301,Brandon Heath,Your Love,2
357,Caribou,Sun,2
408,Chet Baker,Let's Get Lost,2
409,Chevelle,Send The Pain Below,2
423,Chris Tomlin,Our God,3
501,David Bowie,Fame,2
658,Elvis Costello,One Bell Ringing,2
662,Elvis Presley,Heartbreak Hotel,2
678,Eric Clapton,Cocaine,2
733,Fontella Bass,Rescue Me,2
751,Franz Ferdinand,Do You Want To,2
755,Freddie Hubbard,Red Clay,2
781,George Harrison,What Is Life,2
903,Innerpartysystem,American Trash,2
989,Jeremy Camp,Take You Back,2
1038,John Lennon,Happy Xmas (War Is Over),3
1047,John Prine,Glory Of True Love,2
1055,Johnny Cash,Were You There (When They Crucified My Lord),2
1084,Josh Wilson,Before The Morning,2
1107,K-Paz De La Sierra,Volvere,2
1127,Keb' Mo',The Door,2
1169,Korn,Blind,2
1331,Mark Schultz,Love Has Come,2
1400,Metallica,Metal Militia,3
1457,Motley Crue,Home Sweet Home,2
1468,Mudvayne,Scream With Me,2
1472,Muse,Stockholm Syndrome,2
1476,Musiq,Girl Next Door ,2
1498,Natasha Bedingfield,These Words,2
1537,Nirvana,Come As You Are,2
1540,Nirvana,Polly,2
1548,Nnenna Freelon,If I Only Had A Brain ,2
1588,PJ Harvey,This Mess We're In,2
1596,Papa Roach,Burn,2
1653,Pink Floyd,Chapter 24,2
1744,Rihanna,Good Girl Gone Bad,2
1777,Rolling Stones,Gimme Shelter,2
1839,Scorpions,Rock You Like A Hurricane,2
1846,Sepultura,Territory,2
1871,Sheryl Crow,A Change Would Do You Good,2
1882,Sidewalk Prophets,You Can Have Me,2
1915,Small Faces,Itchycoo Park,2
1916,Smashing Pumpkins,Bullet With Butterfly Wings,2
2022,Temple Of The Dog,Hunger Strike,2
2047,The Beatles,All You Need Is Love,2
2048,The Beatles,And I Love Her,2
2049,The Beatles,Birthday,2
2050,The Beatles,Can't Buy Me Love,2
2051,The Beatles,For You Blue,2
2053,The Beatles,Golden Slumbers,2
2058,The Beatles,Her Majesty,2
2059,The Beatles,Here Comes The Sun,2
2060,The Beatles,Honey Don't,2
2061,The Beatles,I Should Have Known Better,2
2064,The Beatles,I'm Happy Just To Dance With You,2
2065,The Beatles,In My Life,2
2066,The Beatles,Love Me Do,2
2068,The Beatles,Maggie Mae,2
2069,The Beatles,Maxwell's Silver Hammer,2
2070,The Beatles,Octopus's Garden,2
2074,The Beatles,The End,2
2075,The Beatles,Two Of Us,2
2077,The Beatles,Yer Blues,2
2078,The Beatles,Your Mother Should Know,2
2106,The Clash,I'm So Bored With The U.S.A.,2
2157,The Gathering,Locked Away,2
2214,The Police,So Lonely,2
2219,The Prodigy,One Love,2
2257,The Shirelles,Will You Love Me Tomorrow,2
2262,The Staple Singers,Respect Yourself,2
2366,U2,Pride ,2
2459,Wings,Silly Love Songs,2
