,track_uri,track_name,artist_uri,artist_name,album_uri,album_name
130,spotify:track:03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version,spotify:artist:6f4XkbvYlXMH0QgVRzW0sM,Waka Flocka Flame,spotify:album:6MQtWELG7aRX7CkAzQ6nLM,Flockaveli
154,spotify:track:0z5ZPs57J2KERwM1tBM2GF,6 Foot 7 Foot,spotify:artist:55Aa2cqylxrFIXC767Z865,Lil Wayne,spotify:album:1uuSC0RCJB3dSp8Mb6GflZ,Tha Carter IV
509,spotify:track:5dKBaysNJtfpyNTRa5lqDb,A-Punk,spotify:artist:5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,spotify:album:5oXBmKbyJeQftWMo87cQ9F,Vampire Weekend
2836,spotify:track:3AYcyxEACnmE6d96RPubID,Thrift Shop (feat. Wanz),spotify:artist:5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,spotify:album:0CoiTAUBiO70lic9p9Lboq,The Heist [Deluxe Edition]
13545,spotify:track:4SMciQoW2tOVieBAg6U2Qj,I Know the Truth,spotify:artist:4iVhFmG8YCCEHANGeUUS9q,Pretty Lights,spotify:album:3h89Ia1cS0CeqnyooS6aKj,I Know the Truth - Single
15792,spotify:track:6aGNg25mRJdqd318f9X6Wn,Otis,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,JAY Z,spotify:album:1YwzJz7CrV9fd9Qeb6oo1d,Watch The Throne
16306,spotify:track:7ntT9X35Y8FspsqYI2qRi3,Gangsta,spotify:artist:0asVlqTLu3TimnYVyY5Jxi,Tune-Yards,spotify:album:7rBLvpL7ZWi1YCSXSLUZKF,W H O K I L L
51661,spotify:track:2vgvj5MIfDgpeqfsQMf1WJ,Express Yourself - feat. Nicky Da B,spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,Diplo,spotify:album:63CHkpwH8ZlXmw1Hudn5IL,Random White Dude Be Everywhere
54500,spotify:track:14epucTZd8dLIYipdByNZS,Antidote,spotify:artist:1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,spotify:album:4ljisoNarj0BpQSMIEv88L,Until Now
78712,spotify:track:2eNuVckOo61ImzgFtQK6tK,Game Time - Original Mix,spotify:artist:0ycHhPwPvoaO4VGzmMnXGq,Zomboy,spotify:album:1HFDo79bLKOEI7KdI87aso,Game Time EP
80496,spotify:track:1sQWTSPn7ArLqPaUxvcc5d,The One Armed Boxer vs. the Flying Guillotine,spotify:artist:5n71fmAB8Un2IfAPn64erN,From First To Last,spotify:album:0Q6C8p6g47jEOU6G7SoRrS,"Dear Diary, My Teen Angst Has A Body Count"
80498,spotify:track:3FPQ6O2swAIHGDR6iXwqWH,Secrets Don't Make Friends,spotify:artist:5n71fmAB8Un2IfAPn64erN,From First To Last,spotify:album:0Q6C8p6g47jEOU6G7SoRrS,"Dear Diary, My Teen Angst Has A Body Count"
140940,spotify:track:6W9mSMgik64fYDYZhFlIqY,Organ Donor - Original Mix,spotify:artist:0ycHhPwPvoaO4VGzmMnXGq,Zomboy,spotify:album:1HFDo79bLKOEI7KdI87aso,Game Time EP
291555,spotify:track:4ZiQ7gCnJeGeYnvUDuA0AB,Run Riot,spotify:artist:2N8IPNZTiNo3nj4mreOlHU,Camo & Krooked,spotify:album:0p4wVrItpi1R9IB2hkk9I4,Cross The Line
611918,spotify:track:6QXXy5FdSJZXUBsL3lGTtl,Don't Tell And We Won't Ask,spotify:artist:3NChzMpu9exTlNPiqUQ2DE,Thrice,spotify:album:7yu7B1B8O07jAFAZEFSRXA,The Artist In The Ambulance
1548779,spotify:track:5EDcbwvJ1LbPi7USe0yy3Q,Bust 'em Up - French Fries Remix,spotify:artist:3o1cwVQfiDWafhYA02k13C,Crookers,spotify:album:3PybE6YBDHP2RyxiDRA9Xp,Bust Em Up Remixes
2070822,spotify:track:5cce0doIgcw2cvgfPLgGYY,Sparkle Pony,spotify:artist:60yORhTz6jtGBmTiFn1lct,Carly D,spotify:album:1m23rMktfl64E1Q0qblXcu,BassTease
