,track_uri,track_name,artist_uri,artist_name,album_uri,album_name
5353,spotify:track:7dblNGnRXEBrVJunazs2U5,All I Have To Do Is Dream,spotify:artist:4ACplpEqD6JIVgKrafauzs,The Everly Brothers,spotify:album:4lmdDGcU5u1xk3GCcVJSYT,The Very Best of The Everly Brothers
7053,spotify:track:3ivuCzdONtlrYHyWdAZnZb,Only You (And You Alone),spotify:artist:6KWcxMWVNVIYbdOQyJtsSy,The Platters,spotify:album:3rAXSRicNihPrSt96JPvV4,The Platters Golden Hits
7054,spotify:track:1jFhnVoJkcB4lf9tT0rSZS,Unchained Melody,spotify:artist:4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,spotify:album:5CFmNamq1ceXn8RFJ9i7p6,The Very Best Of The Righteous Brothers - Unchained Melody
7055,spotify:track:2G2YzndIA6jeWFPBXhUjh5,Be My Baby,spotify:artist:7CyeXFnOrfC1N6z4naIpgo,The Ronettes,spotify:album:3vLFWR3fLqfY82WGvaLuyV,Be My Baby: The Very Best of The Ronettes
7063,spotify:track:0GVvRmCoiLkhxJvlZy9bLk,In The Still of the Night,spotify:artist:2YP02JRa1JLejrg3XTssJS,The Five Satins,spotify:album:2ITzRNAK93yj5T5I7zB0I6,For Collectors Only
7064,spotify:track:2NuMeCS2NXS2RZIS9f9U86,Earth Angel,spotify:artist:6lOk7hCr8x3O9vHwylXyHR,The Penguins,spotify:album:1ojewWympFbWftlUR2V8DB,Earth Angel - The Very Best of The Penguins
9572,spotify:track:4HbWgdhQcrV1PbCkzspTSF,Walkin' After Midnight,spotify:artist:7dNsHhGeGU5MV01r06O8gK,Patsy Cline,spotify:album:5Ql9o96eFmpLRwesa8OTrv,The Very Best Of Patsy Cline
10309,spotify:track:6bs9zxCTiAzYXsE7dEBrF5,Try Me,spotify:artist:7GaxyUddsPok8BuhxN6OUW,James Brown,spotify:album:4DvwY9utnpS8CheseOsOyS,Try Me
12091,spotify:track:66BjgQodHebiX5QGpBAjyQ,Tell It Like It Is,spotify:artist:57ALvbCBaCkNlgTOSiUPdT,Aaron Neville,spotify:album:5p30oP23JCMDwHXM7f6ECa,The Very Best Of Aaron Neville
12312,spotify:track:6vcF9napv3kwm8rSb4O2si,I'm Glad,spotify:artist:2k8kY9zHUWxuTtwV4UutHw,Captain Beefheart & His Magic Band,spotify:album:0DFhGsFKG7G58cke33GlAh,Safe As Milk
17787,spotify:track:7ypqforPnkbeii6Wi0Vb32,"Reach Out, I'll Be There - Single Version (Mono)",spotify:artist:7fIvjotigTGWqjIz6EP1i4,Four Tops,spotify:album:7KrwyjO26jw7TJaUcJvbz9,Reach Out I'll Be There
22516,spotify:track:2pvs2oJTb7BPAUXPy5M794,It's The Same Old Song,spotify:artist:7fIvjotigTGWqjIz6EP1i4,Four Tops,spotify:album:1RuEpq5TO4utTSxWDCHp0k,Early Classics
22517,spotify:track:57qGenoa1FlU7xRQBzyWcR,Baby I Need Your Loving,spotify:artist:7fIvjotigTGWqjIz6EP1i4,Four Tops,spotify:album:5eCgkUirJWEg4y4Gde5pAu,Four Tops
22518,spotify:track:5uM9zdUz8PpYJME9wZCM4W,Baby Love - Juke Box Single Version,spotify:artist:57bUPid8xztkieZfS7OlEV,The Supremes,spotify:album:3W2FhBKieLAcrS4e9SHtr6,Where Did Our Love Go: 40th Anniversary Edition
