,track_uri,track_name,artist_uri,artist_name,album_uri,album_name
16,spotify:track:6IcrwGdIvRsrImOnoYfG9Z,"See You Again (feat. Charlie Puth) - From ""Furious 7""",spotify:artist:137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,spotify:album:5J4SS8wTmXdyIEVYjmHzpZ,Nine Track Mind
17,spotify:track:25khomWgBVamSdKw7hzm3l,The Hills,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,spotify:album:28ZKQMoNBB0etKXZ97G2SN,Beauty Behind The Madness
20,spotify:track:1WP1r7fuvRqZRnUaTi2I1Q,Stitches,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,spotify:album:5wKylB0Zwnxz046O7po25D,Handwritten
29,spotify:track:0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,ZAYN,spotify:album:5amj9zNeZ3B2EdpBgXrOZ0,Mind Of Mine (Deluxe Edition)
32,spotify:track:5aAx2yezTd8zXrkmtKl66Z,Starboy,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,spotify:album:09fggMHib4YkOtwQNXEBII,Starboy
60,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Shape of You,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,spotify:album:3T4tUhGYeRNVUGevb0wThu,÷
61,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Perfect,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,spotify:album:3T4tUhGYeRNVUGevb0wThu,÷
82,spotify:track:6C7RJEIUDqKkJRZVWdkfkH,Stronger,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,Kanye West,spotify:album:3SZr5Pco2oqKFORCP3WNj9,Graduation
88,spotify:track:2gZUPNdnz5Y45eiGxpHGSc,POWER,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,Kanye West,spotify:album:20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy
91,spotify:track:2KpCpk6HjXXLb7nnXoXA5O,Ni**as In Paris,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,JAY Z,spotify:album:1RhLcw3zLwYqNRFQZszBOG,Top Five
102,spotify:track:6sDQ4uiWw9OdVrCXFLSlZt,Rap God,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Eminem,spotify:album:3qGeRY1wt4rrLIt1YuSwHR,The Marshall Mathers LP2
120,spotify:track:2AYTGaclgKXACh13nJRVcV,All The Way Up (Remix),spotify:artist:3ScY9CQxNLQei8Umvpx5g6,Fat Joe,spotify:album:130MGfLj8lB4zyGiCQuhFH,All The Way Up (Remix) (feat. French Montana & Infared) - Single
135,spotify:track:2c5Isyd07hWsl7AQia2Dig,Fast Lane,spotify:artist:77IURH5NC56Jn09QHi76is,Bad Meets Evil,spotify:album:5abCMGtyHwpOr9cEbwfP1P,Hell: The Sequel
136,spotify:track:59PL9AwYjIrIpP04n9gmMR,Ride Out,spotify:artist:6KZDXtSj0SzGOV705nNeh3,Kid Ink,spotify:album:7hTMaPfK488vRcC1Ar4bOm,Furious 7: Original Motion Picture Soundtrack
137,spotify:track:0v9Wz8o0BT8DU38R4ddjeH,No Problem (feat. Lil Wayne & 2 Chainz),spotify:artist:1anyVhU62p31KFi8MEzkbf,Chance The Rapper,spotify:album:71QyofYesSsRMwFOTafnhB,Coloring Book
165,spotify:track:6HfOzLLjsaXsehIFEsrxTk,Trophies,spotify:artist:5OrB6Jhhrl9y2PK0pSV4VP,Young Money,spotify:album:0UwpSCPnNPksM1meQJnBAF,Rise Of An Empire
166,spotify:track:2rzBvHM9h36Tpdj7Jdajka,Wild for the Night,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,spotify:album:6rzMufuu8sLkIizM4q9c7J,LONG.LIVE.A$AP (Deluxe Version)
168,spotify:track:5hTpBe8h35rJ67eAWHQsJx,Caroline,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,Aminé,spotify:album:3lajefIuUk4SfzqVBSJy8p,Good For You
207,spotify:track:4w7yrP4RAeeyhfG9nJqQvS,I Don't Fuck With You,spotify:artist:0c173mlxpT3dSFRgMO8XPh,Big Sean,spotify:album:3QZ9gSv35M8vfQA127l3vn,Dark Sky Paradise
