,track_uri,track_name,artist_uri,artist_name,album_uri,album_name
19,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,Exchange,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,spotify:album:6eZdwrhB97A3EYx9QppGfl,T R A P S O U L
987,spotify:track:3MAgQuClHcAV8E9CbeBS6f,Lotus Flower Bomb - feat. Miguel,spotify:artist:67nwj3Y5sZQLl72VNUHEYE,Wale,spotify:album:0jCVC8ndYYOooEY2YTO1l6,Ambition
1000,spotify:track:49VzL5oBsUICN7U34T98b9,Instinct (feat. MadeinTYO),spotify:artist:7mDU6nMUJnOSY2Hkjz5oqM,Roy Woods,spotify:album:6qQ53ChF4TLjNxw0X83obV,Nocturnal
2294,spotify:track:28YLWwEB6xnJQYN7e062rH,Tell Your Friends,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,spotify:album:28ZKQMoNBB0etKXZ97G2SN,Beauty Behind The Madness
4026,spotify:track:6p5zh0HCAeE5WkWAxSxjeg,Push It,spotify:artist:6g8AmloI8egfrr3dm3SnUL,TWENTY88,spotify:album:4gqnsOwnA490OYq58VfJV3,TWENTY88
5436,spotify:track:0JXXNGljqupsJaZsgSbMZV,Sure Thing,spotify:artist:360IAlyVv4PCEVjgyMZrxK,Miguel,spotify:album:493HYe7N5pleudEZRyhE7R,All I Want Is You
6671,spotify:track:4PZ4xyWBCCJqAeWI8uSLca,Down Girl,spotify:artist:7mDU6nMUJnOSY2Hkjz5oqM,Roy Woods,spotify:album:2uh03RWTrpLJzfrrqeEIZs,Waking at Dawn
7689,spotify:track:6u0dQik0aif7FQlrhycG1L,The Morning,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,spotify:album:5EbpxRwbbpCJUepbqVTZ1U,Trilogy
7859,spotify:track:3ppVO2tyWRRznNmONvt7Se,Summers Over Interlude,spotify:artist:3TVXtAsR1Inumwj472S9r4,Drake,spotify:album:40GMAhriYJRO1rsY4YdrZb,Views
7860,spotify:track:4BhGTc3Cgay2U1QcTS7vQe,Fire & Desire,spotify:artist:3TVXtAsR1Inumwj472S9r4,Drake,spotify:album:40GMAhriYJRO1rsY4YdrZb,Views
9298,spotify:track:4osgfFTICMkcGbbigdsa53,Novacane,spotify:artist:2h93pZq0e7k5yf4dywlkpM,Frank Ocean,spotify:album:3RYdEXhGHojkTILUdtnRVJ,Novacane
10248,spotify:track:6GatnDEhYQLOdRzdVbJaky,Her,spotify:artist:4HzKw8XcD0piJmDrrPRCYk,Majid Jordan,spotify:album:0LncwHODjl9isM9pzVmuOS,A Place Like This
11360,spotify:track:1UGD3lW3tDmgZfAVDh6w7r,Devil In A New Dress,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,Kanye West,spotify:album:20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy
22410,spotify:track:4XnajLeZt02RnYg4k8kXpm,Why,spotify:artist:7mDU6nMUJnOSY2Hkjz5oqM,Roy Woods,spotify:album:2uh03RWTrpLJzfrrqeEIZs,Waking at Dawn
24109,spotify:track:1Xi28qSSoARTXiqMwb8Srg,The Palisades,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,spotify:album:5GBcqixIFDPEom7AUNbFiM,Kauai
25479,spotify:track:2TAf6ITyhwc9Z3MYb4tSYl,On The Way,spotify:artist:6g8AmloI8egfrr3dm3SnUL,TWENTY88,spotify:album:4gqnsOwnA490OYq58VfJV3,TWENTY88
32139,spotify:track:5fLfzMQ6T583mnUke8622M,You Are the Right One,spotify:artist:4AGNJdJiVltImYk1UTLE0K,Sports,spotify:album:5mzRPtsvAzLBqyYtjH6gMs,Naked All the Time
44200,spotify:track:4jRoaAf22vlDYU5Fv3f4ns,The Motive Used to Be the Melody,spotify:artist:7e3FtKBIPLrIVm8g1FJMVg,Sango,spotify:album:5gBmvBzVGoP96jbF4OfnKh,Hours Spent Loving You
66780,spotify:track:2hyfepwCRQsenxVLzsaOtA,Her Way,spotify:artist:2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,spotify:album:6s2isojT7rGZUgJyymjjKU,PARTYNEXTDOOR TWO
69866,spotify:track:1nU9Fn9kh4pQ9zSghlh1Ka,One More Chance / Stay With Me - Radio Edit,spotify:artist:5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,spotify:album:6bj9JFEnqeqLoIwAQoZfXY,One More Chance
78544,spotify:track:2V8DlQF27d4GKlHOrJ3gqd,Problems & Selfless,spotify:artist:2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,spotify:album:2FXGUAESmG5l9YPrzWPvHI,PARTYNEXTDOOR 3 (P3)
120316,spotify:track:1CJmTfrlU1d6FtAYNT36wD,Small Talk,spotify:artist:4HzKw8XcD0piJmDrrPRCYk,Majid Jordan,spotify:album:7awpB1UEVeDF6h8mGMssTI,Majid Jordan
350353,spotify:track:1JmNMw2gwPjnQwRYIkURLi,Famous,spotify:artist:7GN9PivdemQRKjDt4z5Zv8,The Internet,spotify:album:6VRHTAqFOO5qqznRZ5cUys,Ego Death
