,track_uri,track_name,artist_uri,artist_name,album_uri,album_name
89,spotify:track:0tICYNayWWhH9GPeFrfjfD,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,spotify:artist:7keGfmQR4X5w0two1xKZ7d,Kungs,spotify:album:3nxlM2DFwij3JVP55yNRya,Layers
479,spotify:track:6eednPwnwAG3mDnJavkCxo,Cocaine Model,spotify:artist:28j8lBWDdDSHSSt5oPlsX2,ZHU,spotify:album:62e42RyXywke5INCA3VRGJ,The Nightday
727,spotify:track:4OZEu0Vwq0RB2LAq14v99n,Middle,spotify:artist:540vIaP2JwjQb9dm3aArA4,DJ Snake,spotify:album:55bbXORm6ZrVq52zfZnxBf,Encore
749,spotify:track:0azC730Exh71aQlOt9Zj3y,This Is What You Came For,spotify:artist:7CajNmpbOovFoOoasH2HaY,Calvin Harris,spotify:album:3pEgGUv379EDinvg1TN7Kt,This Is What You Came For
1362,spotify:track:60wwxj6Dd9NJlirf84wr2c,Clarity,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,Zedd,spotify:album:7juWTdmjo0vYywWu8HiQxs,Clarity
2265,spotify:track:17Fd6Yb7mSbinKG8LoWfFl,I Took A Pill In Ibiza - Seeb Remix,spotify:artist:2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,spotify:album:3teu4biw5zhcN7QgjmKzGS,"At Night, Alone."
2320,spotify:track:2rb5MvYT7ZIxbKW5hfcHx8,Mi Gente,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,spotify:album:57DmSe1xfynExe60QgpWU0,Mi Gente
2805,spotify:track:2UYhCz40fGREF576lPMtQ2,DJ Turn It Up,spotify:artist:47z7ZrgFoBvVpCnElCE3Zh,Yellow Claw,spotify:album:6aKqUveOpnG0RU1xF4uPkf,Yellow Claw
2929,spotify:track:0L7loeTIg6akW84aEQZpCT,Light It Up (feat. Nyla & Fuse ODG) - Remix,spotify:artist:738wLrAtLtCtFOLvQBXOXp,Major Lazer,spotify:album:7jA06bCXArKGLr1V187s9b,Peace Is The Mission: Extended
2964,spotify:track:2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child (Radio Edit) [feat. John Martin],spotify:artist:1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,spotify:album:3RKhRsifs4RWrqvWV1YpPY,Don't You Worry Child (feat. John Martin)
3279,spotify:track:76OSY26fhv9aJ0WZTezF34,Bricks,spotify:artist:7CCjtD0hCK005Bvg2WG1a7,Carnage,spotify:album:6AFct76pAIPVHMuOHA80YE,Papi Gordo
3362,spotify:track:5MGeW5mHnqeJiM0NPBbkEZ,I Like Tuh,spotify:artist:7CCjtD0hCK005Bvg2WG1a7,Carnage,spotify:album:6AFct76pAIPVHMuOHA80YE,Papi Gordo
3703,spotify:track:6PkzXU8dlwtfrwyTlUyVnv,Show Me Love - EDX Remix / Radio Edit,spotify:artist:20gsENnposVs2I4rQ5kvrf,Sam Feldt,spotify:album:6i0e9955UWeADYG0ZsXBiP,Show Me Love
4071,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,Around The World,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,spotify:album:5uRdvUR7xCnHmUW8n64n9y,Homework
4577,spotify:track:0uVyZywUNOp6S0dU5r8TS8,Prayer in C - Robin Schulz Radio Edit,spotify:artist:50OApTJurDusIo9dGTqSU4,Lilly Wood and The Prick,spotify:album:1SrvubPy1Dg2BWJyTMcmgr,Prayer
4600,spotify:track:67awxiNHNyjMXhVgsHuIrs,Turn Down for What,spotify:artist:540vIaP2JwjQb9dm3aArA4,DJ Snake,spotify:album:3zo0Hxh9rjJsdw2JAKReE3,Turn Down for What
4610,spotify:track:3sBfXJVKKUWyKqEUsrYiNO,Say It - Illenium Remix,spotify:artist:6nxWCVXbOlEVRexSbLsTer,Flume,spotify:album:7eJNOeBvrPrIZoZnOHAQcZ,Skin: The Remixes
4743,spotify:track:3zvHOVC4jikl6jORSr6OLE,Heads Will Roll,spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,spotify:album:5HBmdEPIzWtcWwH2JSv7go,It's Blitz!
5314,spotify:track:4Jk6fZmX3gGYYbHnjq5uyN,In My Room (feat. Ty Dolla $ign & Tyga),spotify:artist:47z7ZrgFoBvVpCnElCE3Zh,Yellow Claw,spotify:album:2F58weuq1zM6WbrvEibtwD,Blood For Mercy
5383,spotify:track:5FrxJwJyC8Wy9rgj0EozCr,Faded - Original Mix,spotify:artist:28j8lBWDdDSHSSt5oPlsX2,ZHU,spotify:album:62e42RyXywke5INCA3VRGJ,The Nightday
5403,spotify:track:6O6M7pJLABmfBRoGZMu76Y,Roses,spotify:artist:69GGBxA162lTqCwzJG5jLp,The Chainsmokers,spotify:album:3ShQFl9FladFKlonwPGZFc,The Chainsmokers- Japan Special Edition
5529,spotify:track:1sNSG13fsK6KPKKNIQXXrh,You Know You Like It,spotify:artist:540vIaP2JwjQb9dm3aArA4,DJ Snake,spotify:album:307C8qOXhP1iVcp2MttpmO,You Know You Like It
5530,spotify:track:35x6JdLCr4VWWR5ShNoAWo,Bend Ova,spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK,Lil Jon,spotify:album:7hSGhpAzdMDnh1UVcwBomX,Bend Ova
5531,spotify:track:0TaJUvjmA2WToXM0FyUyRR,Thinking About You,spotify:artist:7CajNmpbOovFoOoasH2HaY,Calvin Harris,spotify:album:4TjPTVBmdyaowp08j2toa0,18 Months
6401,spotify:track:0lsqtZVyovtBSQtWdD44LH,Sweet Nothing,spotify:artist:7CajNmpbOovFoOoasH2HaY,Calvin Harris,spotify:album:4TjPTVBmdyaowp08j2toa0,18 Months
