,track_uri,track_name,artist_uri,artist_name,album_uri,album_name
1418,spotify:track:1J3w85cS3FEmoSKRu2dQJ8,Sea of Love,spotify:artist:6G7OerKc3eBO9sVkRNopFC,Cat Power,spotify:album:5FbcUqv44TZnt8Ox6bzzZT,The Covers Record
5284,spotify:track:4tXzPOr4UaBoA7k7pnpJI1,My Kind Of Woman,spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM,Mac Demarco,spotify:album:0Skv3s5A99n7dstiJOs0aA,2
6529,spotify:track:7svpAkwc6xaSxlbZ7V7JiS,i was all over her,spotify:artist:0pg0Zm8FsGAYy5kdHuBnSo,salvia palth,spotify:album:23KJrzHF1IBfjzpRgTtaJx,melanchole
6532,spotify:track:0nrFI8FEqlYwCPvMDni5sb,salvia plath,spotify:artist:2cAvReLDmjFQtCJFDJbHBU,Teen Suicide,spotify:album:70HUEH2dntw2zlvOGiwNrl,dc snuff film / waste yrself
12767,spotify:track:2olXtgowd7lpfOoJ25x6mn,Objects in the Mirror,spotify:artist:4LLpKhyESsyAXpc4laK94U,Mac Miller,spotify:album:7AAJ37sNfsuD9HTKOYOVfX,Watching Movies With The Sound Off
12784,spotify:track:5oeOWXjH8NZFOWP0SpSXqV,Chamber Of Reflection,spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM,Mac Demarco,spotify:album:7xPhDaYZ2ejV04aNtdBdvj,Salad Days
23454,spotify:track:6rqj2zeKhLy3exkuFi6mSz,Answer,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",spotify:album:40QTqOBBxCEIQlLNdSjFQB,Wolf
25938,spotify:track:5kZD0TTSYAgRzciBtKCmgT,It's hard to get around the wind,spotify:artist:1ctkBmvz80MGyi72Ix055S,Alex Turner,spotify:album:3OqRGywivnQ0IeClUeUa4n,Submarine - Original Songs From The Film By Alex Turner
26017,spotify:track:1ZnIS5sO40hECBKRH8tK7D,Another One,spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM,Mac Demarco,spotify:album:73A5i6uEMBa2qpGDKdZu3u,Another One
29864,spotify:track:5d8CreUdJvZejvTUo1IHLw,Space Song,spotify:artist:56ZTgzPBDge0OvCGgMO3OY,Beach House,spotify:album:2dOMRQFWGtFnBVBaqMUjel,Depression Cherry
33245,spotify:track:2GHJTd2DSll7TbJ9eZAIKa,T.M.,spotify:artist:6GbZNJSntMbGHKaNARRkoP,Jack Kilmer,spotify:album:4N78Jg0enyOnKqta5N1ztS,Palo Alto (Music from the Motion Picture)
34364,spotify:track:7xIWodZRRhxnciARkqgNOr,Makeout Point,spotify:artist:2HSEdXKVq1WWtBbsIeNjRX,The Frights,spotify:album:3kXPXsbyFnda1QelF9WLlO,Fur Sure - EP
40159,spotify:track:7LZgdL0MxiElfaKZbuuE4l,Asleep - 2011 Remastered Version,spotify:artist:3yY2gUcIsjMr8hjo51PoJ8,The Smiths,spotify:album:45StnugV9WQMQwk4rRoTy8,Louder Than Bombs
50299,spotify:track:3cUxncrTWSA9lhlQbuIwUY,Stuck on the puzzle,spotify:artist:1ctkBmvz80MGyi72Ix055S,Alex Turner,spotify:album:3OqRGywivnQ0IeClUeUa4n,Submarine - Original Songs From The Film By Alex Turner
