,track_uri,track_name,artist_uri,artist_name,album_uri,album_name
79,spotify:track:3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us - feat. Ray Dalton,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,spotify:album:76FXHQhTuT4QMIxfL09gX8,The Heist
1064,spotify:track:0wQy2OO7jKjm0OOmA7gv3f,Thriller - 2003 Edit,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,spotify:album:1jcYwZsN7JEve9xsq9BuUX,Number Ones
2351,spotify:track:32lm3769IRfcnrQV11LO4E,Bailando - Spanish Version,spotify:artist:7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,spotify:album:2kZkiVn1m00XcgaWlLb2LD,SEX AND LOVE
2355,spotify:track:3pDhN3qB33AOPhQEkUCaWt,Limbo,spotify:artist:4VMYDCV2IEDYJArk749S6m,Daddy Yankee,spotify:album:6Hu1DObY1WeKWxHfeaOcFg,Prestige
2359,spotify:track:4pg1CRAajCYbb1q2sZypPf,Echa Pa'lla (Manos Pa'rriba),spotify:artist:0TnOYISbd1XYRBk9myaseg,Pitbull,spotify:album:4brEzXAZB8SWqgQIOBn7nF,I Am Armando (Armando Reloaded)
2363,spotify:track:13plQdOoWSSXPRUSZc5FuM,I Know You Want Me (Calle Ocho),spotify:artist:0TnOYISbd1XYRBk9myaseg,Pitbull,spotify:album:4RaAjieYFIZRF8uh6GY43r,Pitbull Starring In Rebelution
2367,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,spotify:artist:33ScadVnbm2X8kkUqOkC6Z,Don Omar,spotify:album:6mGDfbDErYIJsmSewvccWm,Meet The Orphans
2380,spotify:track:3QHMxEOAGD51PDlbFPHLyJ,Vivir Mi Vida,spotify:artist:4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony,spotify:album:6vBpLg3T8bojcqzoKI6m0R,3.0
2385,spotify:track:0wrMVjP7zS5fN7piwv5Gxq,La Vida Es Un Carnaval,spotify:artist:2weA6hhVqTIN2gSn9PUB9U,Celia Cruz,spotify:album:4O1Y013q4dkng1GGwaEgwM,Carnaval De Exitos
2399,spotify:track:7JIjUx3GsL0upxmNJacmtz,Suavemente,spotify:artist:1c22GXH30ijlOfXhfLz9Df,Elvis Crespo,spotify:album:01dkVTJhjXbhGCW4VUelmq,Suavemente
